,model,n_edges,cls_type,C-index,IBS,Survival Model
259,MLP,0,MLP,0.3820754716981132,0.1790363482020229,DeepSurv
260,MLP,0,MLP,0.7038327526132404,0.1434653015243417,MTLR
261,MLP,0,MLP,0.6289198606271778,0.135010988841746,DeepSurv
262,MLP,0,MLP,0.5996376811594203,0.1599945240451591,MTLR
263,MLP,0,MLP,0.5144927536231884,0.1907959202091421,DeepSurv
264,MLP,0,MLP,0.3210526315789473,0.2141847906652298,MTLR
265,MLP,0,MLP,0.631578947368421,0.2268498337511798,DeepSurv
266,MLP,0,MLP,0.5678391959798995,0.2036139488362864,MTLR
267,MLP,0,MLP,0.5829145728643216,0.1664498829524451,DeepSurv
268,MLP,0,MLP,0.6585365853658537,0.1737987074318532,MTLR
269,MLP,0,MLP,0.663109756097561,0.1578619706128076,DeepSurv
270,MLP,0,MLP,0.6066350710900474,0.1602973168538993,MTLR
271,MLP,0,MLP,0.5781990521327014,0.169921497187599,DeepSurv
272,MLP,0,MLP,0.591776798825257,0.194965315533285,MTLR
273,MLP,0,MLP,0.580029368575624,0.2183852687951407,DeepSurv
274,MLP,0,MLP,0.4616497829232995,0.2155476370451671,MTLR
275,MLP,0,MLP,0.4725036179450072,0.1804279294398975,DeepSurv
276,MLP,0,MLP,0.4844006568144499,0.1576008468790872,MTLR
277,MLP,0,MLP,0.6617405582922824,0.1502530926538001,DeepSurv
278,MLP,0,MLP,0.4596518987341772,0.1819979980362179,MTLR
279,MLP,0,MLP,0.5625,0.1846612170995862,DeepSurv
280,MLP,0,MLP,0.5691358024691358,0.211828525278974,MTLR
281,MLP,0,MLP,0.6290123456790123,0.2211701951001601,DeepSurv
282,MLP,0,MLP,0.5624203821656051,0.1971490296693082,MTLR
283,MLP,0,MLP,0.6605095541401274,0.1915223491790192,DeepSurv
284,MLP,0,MLP,0.6128731343283582,0.1637168325718712,MTLR
285,MLP,0,MLP,0.5718283582089553,0.1603129657245225,DeepSurv
286,MLP,0,MLP,0.66015625,0.1602673666168583,MTLR
287,MLP,0,MLP,0.653125,0.1537074666510884,DeepSurv
288,MLP,0,MLP,0.3878968253968254,0.1609004988516536,MTLR
289,MLP,0,MLP,0.5505952380952381,0.1959056514779804,DeepSurv
290,MLP,0,MLP,0.6535326086956522,0.1611606136953496,MTLR
291,MLP,0,MLP,0.6358695652173914,0.1789421807121417,DeepSurv
292,MLP,0,MLP,0.6637426900584795,0.1713160344340422,MTLR
293,MLP,0,MLP,0.5,0.1592392520115075,DeepSurv
294,MLP,0,MLP,0.6309297912713473,0.1768890191741936,MTLR
295,MLP,0,MLP,0.5986717267552182,0.1923028634449448,DeepSurv
296,MLP,0,MLP,0.5718911917098446,0.2334608354381922,MTLR
297,MLP,0,MLP,0.569300518134715,0.185928106476575,DeepSurv
298,MLP,0,MLP,0.6254578754578755,0.1618700186976045,MTLR
299,MLP,0,MLP,0.6584249084249084,0.1790979657852883,DeepSurv
